date,description,inflow,outflow,balance
2025-04-05,Customer receipts,19500000,6200000,84200000
2025-05-05,Customer receipts,20200000,6400000,98000000
2025-06-05,Customer receipts,21100000,6700000,112000000
2025-07-05,Customer receipts,21800000,7100000,126700000
2025-08-05,Customer receipts,22700000,7300000,141100000
2025-09-05,Customer receipts,23600000,7600000,157100000
2025-10-05,Customer receipts,24300000,7900000,173500000
2025-11-05,Customer receipts,24900000,8300000,189100000
2025-12-05,Customer receipts,25300000,8600000,204800000
2026-01-05,Customer receipts,26000000,9000000,221800000
2026-02-05,Customer receipts,26600000,9300000,238600000
2026-03-05,Customer receipts,27200000,9800000,255900000
